filename,verdict,mismatch_rows,categories,croma_measures,ref_measures,measure_delta
tune_001593.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,64,64,0
tune_001750.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,92,92,0
tune_001789.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,40,40,0
tune_001810.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,80,80,0
tune_001885.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,52,52,0
tune_001889.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,68,68,0
tune_001918.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,44,44,0
tune_001991.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
tune_002020.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,32,32,0
tune_002031.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
tune_002105.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
tune_002209.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,16,16,0
tune_002600.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,36,36,0
tune_002668.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,57,57,0
tune_002914.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,64,64,0
tune_003026.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,20,20,0
tune_003152.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_003182.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,56,56,0
tune_003210.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,52,52,0
tune_003241.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,100,100,0
tune_003329.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,52,52,0
tune_003367.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,96,96,0
tune_003514.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,44,44,0
tune_003739.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,40,40,0
tune_003940.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,15,15,0
tune_004058.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,20,20,0
tune_004157.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,72,72,0
tune_004203.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,19,19,0
tune_004204.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,19,19,0
tune_004209.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_004211.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_004244.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,16,16,0
tune_004263.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_004324.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
